NO,所在地,家賃,敷金,礼金,面積,築年数,駅徒歩分,間取,方位,構造
77,市川市新田,"63,000",1.0 ,1.0 ,19.44 ,15,10,1K,南,木造
78,市川市新田,"57,000",1.0 ,1.0 ,18.50 ,16,13,1K,南,木造
79,市川市新田,"63,000",1.0 ,1.0 ,19.80 ,16,10,1K,南,木造
80,市川市菅野,"50,500",1.0 ,1.0 ,14.76 ,18,15,1K,東,鉄骨造
81,市川市市川,"35,000",2.0 ,1.0 ,17.00 ,31,15,1K,南,木造
82,市川市市川南,"55,000",2.0 ,1.0 ,16.00 ,18,2,1R,南,木造
83,市川市菅野,"53,000",1.0 ,1.0 ,15.80 ,21,12,1K,南,木造
84,市川市新田,"54,000",2.0 ,1.0 ,20.00 ,19,2,1K,南東,木造
85,市川市新田,"67,000",2.0 ,1.0 ,20.70 ,0,2,1K,南東,木造
86,市川市平田,"52,000",1.0 ,1.0 ,23.00 ,23,15,1K,南東,軽量鉄骨
87,市川市新田,"72,000",2.0 ,1.0 ,20.70 ,0,2,1K,南東,木造
88,市川市大洲,"45,000",1.0 ,1.0 ,14.00 ,19,10,1R,南西,木造
89,市川市市川南,"61,000",1.0 ,1.0 ,18.31 ,18,2,1R,南,木造
90,市川市新田,"42,000",1.0 ,1.0 ,24.00 ,31,9,1DK,東,木造
91,市川市大洲,"57,000",2.0 ,0.0 ,21.70 ,18,12,1K,南,木造
92,市川市真間,"47,000",1.0 ,1.0 ,22.40 ,37,10,1K,南,木造
93,市川市市川南,"59,000",1.0 ,1.0 ,18.01 ,18,2,1R,北東,木造
94,市川市菅野,"63,000",2.0 ,1.0 ,20.03 ,14,15,1K,南,木造
95,市川市真間,"64,000",1.0 ,1.0 ,26.40 ,11,10,1K,南西,木造
96,市川市市川,"51,000",1.0 ,1.0 ,20.50 ,20,2,1K,南,木造
97,市川市市川南,"63,000",1.0 ,1.0 ,18.00 ,11,2,1K,南,軽量鉄骨
98,市川市真間,"56,000",1.0 ,1.0 ,18.00 ,19,8,1K,東,木造
99,市川市市川南,"59,000",1.0 ,1.0 ,20.00 ,14,7,1K,南,木造
100,市川市新田,"59,000",0.0 ,0.0 ,17.42 ,14,10,1K,南,鉄骨造
101,市川市大洲,"61,000",1.0 ,1.0 ,19.51 ,13,11,1R,南,木造
102,市川市市川南,"51,000",2.0 ,1.0 ,14.88 ,24,2,1K,西,木造
103,市川市新田,"66,000",2.0 ,2.0 ,27.74 ,2,10,1K,南西,鉄骨造
104,市川市新田,"77,000",2.0 ,1.0 ,22.68 ,34,2,1K,南東,木造
105,市川市大和田,"65,000",1.0 ,1.0 ,30.50 ,23,15,1K,南,軽量鉄骨
106,市川市新田,"57,000",1.0 ,1.0 ,19.56 ,14,10,1K,南東,軽量鉄骨
107,市川市大洲,"59,000",1.0 ,1.0 ,24.00 ,13,12,1K,南,木造
108,市川市市川南,"62,000",2.0 ,1.0 ,19.50 ,18,2,1K,東,木造
109,市川市菅野,"53,000",2.0 ,1.0 ,21.00 ,17,13,1K,西,木造
110,市川市新田,"72,000",2.0 ,1.0 ,22.77 ,0,5,1K,南西,軽量鉄骨
111,市川市新田,"63,000",2.0 ,1.0 ,26.00 ,28,10,1DK,南,木造
112,市川市菅野,"67,000",1.0 ,1.0 ,24.75 ,14,11,1K,南,木造
113,市川市新田,"56,000",2.0 ,1.0 ,19.80 ,16,10,1K,南,木造
114,市川市大洲,"45,000",1.0 ,0.0 ,14.51 ,19,10,1R,南,木造
115,市川市市川南,"61,000",1.0 ,1.0 ,29.70 ,22,9,1DK,南,木造
116,市川市市川南,"55,000",2.0 ,1.0 ,22.00 ,22,7,1K,南,木造
117,市川市新田,"59,000",0.0 ,0.0 ,17.42 ,14,10,1K,南,木造
118,市川市市川南,"61,000",1.0 ,1.0 ,20.20 ,18,5,1K,南西,木造
119,市川市真間,"69,000",2.0 ,1.0 ,23.77 ,5,15,1K,南,木造
120,市川市菅野,"52,000",1.0 ,1.0 ,14.87 ,19,15,1K,南,木造
121,市川市真間,"56,000",1.0 ,0.0 ,17.32 ,23,8,1K,南西,木造
122,市川市新田,"65,000",1.0 ,1.0 ,19.80 ,16,11,1K,南,軽量鉄骨
123,市川市市川南,"59,000",2.0 ,2.0 ,18.50 ,16,9,1K,西,木造
124,市川市市川,"64,000",2.0 ,1.0 ,23.73 ,2,13,1K,南,軽量鉄骨
125,市川市市川,"60,000",2.0 ,2.0 ,20.30 ,16,4,1K,南,木造
126,市川市真間,"58,000",2.0 ,0.0 ,20.06 ,18,5,1K,南東,木造
127,市川市市川南,"59,000",2.0 ,1.0 ,33.00 ,25,5,1DK,南東,軽量鉄骨
128,市川市新田,"65,000",1.0 ,1.0 ,19.44 ,16,10,1K,南,木造
129,市川市新田,"82,000",1.0 ,1.0 ,30.22 ,0,8,1K,南,木造
130,市川市市川南,"60,000",2.0 ,0.0 ,20.66 ,24,6,1K,東,木造
131,市川市新田,"50,000",0.0 ,0.0 ,20.20 ,27,13,1K,南東,木造
132,市川市市川南,"55,000",1.0 ,1.0 ,21.87 ,22,6,1K,南,木造
133,市川市市川南,"60,000",2.0 ,2.0 ,17.35 ,16,4,1K,東,木造
134,市川市新田,"49,000",2.0 ,1.0 ,18.18 ,17,10,1K,南,軽量鉄骨
135,市川市大洲,"52,000",0.0 ,0.0 ,23.14 ,38,14,1R,南東,木造
136,市川市新田,"53,000",2.0 ,1.0 ,16.52 ,19,12,1K,南,軽量鉄骨
137,市川市真間,"53,000",1.0 ,1.0 ,25.00 ,26,7,1DK,南,木造
138,市川市真間,"55,000",2.0 ,1.0 ,17.40 ,16,10,1R,西,木造
139,市川市真間,"68,000",1.0 ,1.0 ,25.31 ,12,13,1K,南,鉄骨造
140,市川市市川,"50,000",1.0 ,2.0 ,20.66 ,22,8,1K,南,木造
141,市川市菅野,"48,000",2.0 ,1.0 ,24.00 ,20,13,1K,西,鉄骨造
142,市川市新田,"49,000",2.0 ,1.0 ,14.87 ,17,10,1K,南,木造
143,市川市真間,"50,000",2.0 ,2.0 ,17.00 ,17,15,1R,南,木造
144,市川市新田,"51,000",2.0 ,0.0 ,17.00 ,20,6,1K,南,木造
145,市川市市川南,"52,000",1.0 ,1.0 ,18.15 ,16,6,1K,北,木造
146,市川市須和田,"72,000",2.0 ,1.0 ,28.06 ,16,15,1K,南,木造
147,市川市市川南,"58,000",1.0 ,1.0 ,16.00 ,13,7,1K,南,木造
148,市川市市川南,"66,000",2.0 ,1.0 ,21.00 ,17,4,1K,南,軽量鉄骨
149,市川市新田,"72,000",2.0 ,1.0 ,20.70 ,0,2,1K,東,木造
150,市川市市川南,"55,000",1.0 ,1.0 ,21.06 ,38,6,1K,南,木造
151,市川市市川,"60,000",2.0 ,1.0 ,20.00 ,16,4,1K,南,木造
152,市川市真間,"61,000",1.0 ,1.0 ,23.10 ,10,12,1K,南,木造
153,市川市市川,"46,000",2.0 ,1.0 ,23.21 ,34,7,1K,西,木造
154,市川市新田,"61,000",2.0 ,1.0 ,22.40 ,22,3,1K,南東,木造
155,市川市菅野,"49,000",1.0 ,1.0 ,17.95 ,19,15,1R,南,木造
156,市川市真間,"72,000",2.0 ,1.0 ,19.40 ,1,6,1K,南東,木造
157,市川市新田,"72,000",2.0 ,2.0 ,20.70 ,0,1,1K,南,木造
158,市川市大洲,"57,000",2.0 ,1.0 ,21.01 ,24,12,1K,南,木造
159,市川市市川南,"62,500",2.0 ,0.0 ,21.79 ,37,5,1R,南東,木造
160,市川市新田,"61,000",1.0 ,1.0 ,21.05 ,11,10,1K,西,木造
161,市川市新田,"65,000",2.0 ,1.0 ,22.98 ,0,13,1K,南東,木造
162,市川市市川南,"70,000",1.0 ,1.0 ,27.00 ,15,4,1DK,南,木造
163,市川市新田,"86,000",1.0 ,1.0 ,30.22 ,0,8,1K,南,木造
164,市川市大洲,"52,000",2.0 ,1.0 ,24.00 ,17,11,1R,南,木造
165,市川市新田,"58,000",2.0 ,1.0 ,18.20 ,16,13,1K,南東,木造
166,市川市市川南,"70,000",2.0 ,1.0 ,28.09 ,13,4,1DK,南,木造
167,市川市新田,"60,000",2.0 ,1.0 ,18.50 ,16,13,1K,南東,木造
168,市川市新田,"72,000",2.0 ,1.0 ,20.70 ,0,1,1K,南,木造
169,市川市新田,"55,000",2.0 ,1.0 ,19.83 ,12,13,1K,南東,軽量鉄骨
170,市川市市川南,"50,000",2.0 ,0.0 ,17.40 ,15,13,1K,北東,軽量鉄骨
171,市川市市川南,"69,000",2.0 ,1.0 ,19.87 ,1,2,1K,西,鉄骨造
172,市川市市川南,"67,000",1.0 ,1.0 ,19.87 ,11,2,1K,南,木造
173,市川市真間,"67,000",2.0 ,1.0 ,19.83 ,20,8,1K,南,鉄骨造
174,市川市新田,"74,000",2.0 ,1.0 ,19.80 ,5,10,1K,南,木造
175,市川市新田,"72,000",2.0 ,2.0 ,20.70 ,0,2,1K,南東,木造
176,市川市新田,"67,000",2.0 ,1.0 ,20.70 ,0,2,1K,南東,木造
177,市川市市川南,"60,000",2.0 ,1.0 ,19.00 ,11,7,1K,南,木造
178,市川市真間,"62,000",2.0 ,2.0 ,20.28 ,9,10,1K,西,木造
179,市川市市川南,"67,000",2.0 ,1.0 ,33.00 ,19,5,1DK,南西,軽量鉄骨
180,市川市新田,"50,000",1.0 ,0.0 ,18.02 ,25,13,1K,南,木造
181,市川市市川,"36,500",2.0 ,1.0 ,13.36 ,32,12,1K,南,木造
182,市川市新田,"60,000",2.0 ,1.0 ,16.00 ,3,8,1R,南,木造
183,市川市真間,"66,000",1.0 ,1.0 ,25.40 ,11,10,1K,南西,木造
184,市川市大洲,"64,000",2.0 ,1.0 ,21.47 ,7,15,1K,南,木造
185,市川市新田,"52,000",0.0 ,0.0 ,20.20 ,27,13,1K,南東,木造
186,市川市市川南,"54,000",2.0 ,1.0 ,20.00 ,16,4,1R,東,木造
187,市川市平田,"50,000",2.0 ,2.0 ,13.36 ,8,10,1K,南,軽量鉄骨
188,市川市市川,"60,000",2.0 ,1.0 ,20.00 ,16,4,1K,西,木造
189,市川市真間,"58,000",1.0 ,1.0 ,19.60 ,14,10,1K,南,木造
190,市川市市川南,"56,000",1.0 ,1.0 ,21.06 ,38,6,1K,南,木造
191,市川市市川南,"62,000",1.0 ,1.0 ,16.56 ,18,3,1K,南東,軽量鉄骨
192,市川市真間,"60,000",1.0 ,1.0 ,18.00 ,19,8,1K,南西,軽量鉄骨
193,市川市市川南,"64,000",1.0 ,1.0 ,16.10 ,15,2,1R,南,木造
194,市川市市川,"51,000",1.0 ,1.0 ,16.50 ,15,10,1R,東,木造
195,市川市新田,"60,000",2.0 ,0.0 ,18.01 ,20,5,1K,南,木造
196,市川市新田,"72,000",2.0 ,1.0 ,29.00 ,17,13,1DK,南,軽量鉄骨
197,市川市市川南,"51,000",2.0 ,1.0 ,19.00 ,22,3,1K,南,木造
198,市川市市川南,"69,000",1.0 ,1.0 ,26.50 ,15,4,1DK,南,木造
199,市川市新田,"67,000",2.0 ,1.0 ,23.88 ,0,5,1K,西,木造
200,市川市大洲,"60,000",2.0 ,1.0 ,18.00 ,19,11,1K,南,木造
201,市川市新田,"72,000",2.0 ,1.0 ,20.70 ,0,2,1K,南東,木造
202,市川市大洲,"58,000",2.0 ,1.0 ,18.60 ,18,11,1K,南西,木造
203,市川市新田,"73,000",2.0 ,2.0 ,25.68 ,0,5,1K,南,木造
204,市川市市川南,"57,000",2.0 ,1.0 ,22.00 ,18,5,1K,南,木造
205,市川市真間,"51,000",1.0 ,1.0 ,22.40 ,37,10,1K,南,木造
206,市川市新田,"72,500",1.0 ,1.0 ,22.00 ,5,7,1K,東,木造
207,市川市真間,"56,000",1.0 ,0.0 ,17.32 ,23,8,1K,南西,木造
208,市川市市川南,"60,000",1.0 ,1.0 ,22.00 ,20,4,1DK,南,木造
209,市川市市川南,"52,000",1.0 ,1.0 ,18.15 ,16,6,1K,北,木造
210,市川市新田,"62,000",1.0 ,1.0 ,19.85 ,14,10,1K,南東,軽量鉄骨
211,市川市市川,"66,000",2.0 ,1.0 ,18.00 ,16,5,1K,南西,木造
212,市川市真間,"67,000",2.0 ,1.0 ,28.16 ,26,7,1K,南東,木造
213,市川市市川,"58,000",2.0 ,1.0 ,27.07 ,37,8,1K,南,木造
214,市川市市川,"51,000",1.0 ,1.0 ,18.00 ,19,8,1R,南,木造
215,市川市大洲,"55,000",2.0 ,0.0 ,22.77 ,23,15,1K,西,木造
216,市川市新田,"57,000",1.0 ,1.0 ,19.00 ,19,10,1R,南,木造
217,市川市新田,"67,000",2.0 ,1.0 ,20.70 ,0,1,1K,南,木造
218,市川市新田,"73,000",2.0 ,1.0 ,23.51 ,16,3,1K,南,木造
219,市川市市川南,"25,000",1.0 ,1.0 ,10.00 ,21,9,1K,南,木造
220,市川市市川南,"67,000",1.0 ,1.0 ,16.01 ,15,2,1R,東,木造
221,市川市市川南,"58,000",1.0 ,1.0 ,22.68 ,24,9,1R,南,木造
222,市川市真間,"63,000",2.0 ,1.0 ,26.40 ,11,10,1DK,南西,木造
223,市川市新田,"61,000",1.0 ,1.0 ,18.00 ,18,5,1K,南,木造
224,市川市市川南,"26,000",1.0 ,1.0 ,10.00 ,43,9,1R,南,木造
225,市川市新田,"75,000",2.0 ,1.0 ,19.80 ,5,10,1K,南,木造
226,市川市市川南,"62,500",2.0 ,1.0 ,26.00 ,37,5,1R,東,木造
227,市川市新田,"58,000",1.0 ,1.0 ,24.84 ,22,10,1K,南,木造
228,市川市新田,"67,000",2.0 ,1.0 ,25.11 ,12,5,1K,西,木造
229,市川市真間,"55,000",2.0 ,1.0 ,17.40 ,16,10,1R,南,軽量鉄骨
230,市川市市川,"56,000",1.0 ,2.0 ,19.94 ,14,7,1R,南,木造
231,市川市新田,"58,000",1.0 ,0.0 ,16.00 ,17,5,1K,南,木造
232,市川市新田,"83,000",2.0 ,2.0 ,30.00 ,16,7,1K,南,軽量鉄骨
233,市川市真間,"56,000",1.0 ,1.0 ,19.00 ,18,9,1K,西,軽量鉄骨
234,市川市市川南,"53,000",2.0 ,2.0 ,17.50 ,17,7,1K,南,木造
235,市川市大洲,"44,000",1.0 ,1.0 ,16.00 ,19,10,1R,南西,木造
236,市川市市川南,"60,000",2.0 ,1.0 ,18.50 ,16,10,1K,南西,木造
237,市川市菅野,"55,500",1.0 ,1.0 ,14.76 ,18,15,1K,東,木造
238,市川市市川南,"59,000",1.0 ,1.0 ,23.51 ,19,5,1K,南,軽量鉄骨
239,市川市市川南,"52,000",2.0 ,1.0 ,14.88 ,24,2,1K,東,木造
240,市川市市川,"73,000",2.0 ,2.0 ,23.60 ,8,5,1K,南,木造
241,市川市真間,"67,000",2.0 ,1.0 ,19.83 ,18,8,1K,南,木造
242,市川市大洲,"61,000",1.0 ,1.0 ,18.00 ,19,10,1K,南,木造
243,市川市市川南,"61,000",1.0 ,1.0 ,19.00 ,18,3,1K,南,木造
244,市川市市川南,"61,000",1.0 ,1.0 ,24.00 ,18,7,1K,南東,木造
245,市川市真間,"50,000",1.0 ,1.0 ,19.87 ,28,10,1K,南,軽量鉄骨
246,市川市新田,"67,000",2.0 ,1.0 ,20.70 ,0,2,1K,南東,木造
247,市川市真間,"45,000",1.0 ,1.0 ,18.90 ,28,12,1K,南,木造
248,市川市市川南,"64,000",2.0 ,1.0 ,21.73 ,0,2,1K,北東,木造
249,市川市市川,"52,000",1.0 ,1.0 ,18.83 ,25,3,1K,南,木造
250,市川市新田,"71,000",2.0 ,1.0 ,24.94 ,4,4,1R,南,木造
251,市川市真間,"60,000",2.0 ,1.0 ,26.50 ,20,7,1K,南,木造
252,市川市新田,"58,000",1.0 ,1.0 ,18.00 ,14,11,1K,南東,木造
253,市川市新田,"74,000",2.0 ,2.0 ,25.68 ,0,5,1K,南,木造
254,市川市市川,"63,000",2.0 ,2.0 ,18.00 ,16,5,1K,西,木造
255,市川市市川南,"66,000",1.0 ,1.0 ,19.87 ,11,2,1K,南,軽量鉄骨
256,市川市大洲,"54,000",1.0 ,1.0 ,18.00 ,18,15,1K,南,木造
257,市川市市川,"47,000",1.0 ,1.0 ,20.50 ,20,2,1K,南,木造
258,市川市真間,"72,000",2.0 ,1.0 ,18.47 ,1,6,1K,南,木造
259,市川市真間,"57,000",1.0 ,1.0 ,19.00 ,18,9,1K,西,木造
260,市川市真間,"62,000",2.0 ,2.0 ,23.14 ,16,8,1K,東,木造
261,市川市市川南,"57,500",2.0 ,1.0 ,16.53 ,14,7,1R,北,木造
262,市川市菅野,"58,000",2.0 ,1.0 ,20.03 ,14,15,1K,南,木造
263,市川市市川,"61,000",2.0 ,1.0 ,20.82 ,7,10,1R,西,鉄骨造
264,市川市市川南,"55,000",1.0 ,0.0 ,17.52 ,17,10,1K,西,軽量鉄骨
265,市川市新田,"60,000",2.0 ,1.0 ,23.50 ,25,3,1K,南,木造
266,市川市新田,"65,000",1.0 ,1.0 ,19.80 ,16,10,1K,南,木造
267,市川市市川,"56,000",2.0 ,1.0 ,20.24 ,16,13,1K,南,木造
268,市川市平田,"52,000",2.0 ,1.0 ,19.83 ,22,15,1K,南,軽量鉄骨
269,市川市須和田,"73,000",2.0 ,1.0 ,24.40 ,16,15,1K,南西,木造
270,市川市新田,"63,000",0.0 ,0.0 ,17.42 ,14,10,1K,南,木造
271,市川市大洲,"56,500",1.0 ,1.0 ,26.94 ,23,12,1K,南,木造
272,市川市市川,"36,000",2.0 ,1.0 ,17.00 ,31,15,1K,南,木造
273,市川市市川,"60,000",2.0 ,1.0 ,19.00 ,16,4,1K,南,木造
274,市川市真間,"70,000",2.0 ,1.0 ,28.56 ,31,9,1DK,南,軽量鉄骨
275,市川市新田,"72,000",2.0 ,1.0 ,20.70 ,0,2,1K,南東,木造
276,市川市市川南,"57,000",2.0 ,1.0 ,25.92 ,24,5,1DK,南東,木造
277,市川市市川南,"69,000",2.0 ,1.0 ,27.06 ,19,5,1DK,南,木造
278,市川市市川,"48,000",2.0 ,1.0 ,17.62 ,25,2,1K,東,木造
279,市川市大洲,"55,000",2.0 ,1.0 ,23.00 ,24,10,1K,東,木造
280,市川市新田,"65,000",2.0 ,1.0 ,22.98 ,0,13,1K,南西,木造
281,市川市市川南,"70,000",1.0 ,1.0 ,27.00 ,16,4,1DK,南,木造
282,市川市市川南,"65,000",2.0 ,1.0 ,26.40 ,11,8,1K,南東,木造
283,市川市菅野,"51,000",1.0 ,1.0 ,15.00 ,19,12,1R,南,木造
284,市川市菅野,"60,000",1.0 ,1.0 ,15.80 ,19,12,1K,南,木造
285,市川市大洲,"58,000",2.0 ,1.0 ,19.00 ,15,9,1R,東,木造
286,市川市新田,"66,000",2.0 ,2.0 ,27.74 ,2,10,1K,南西,木造
287,市川市大洲,"61,000",2.0 ,1.0 ,22.68 ,18,10,1K,南,木造
288,市川市真間,"62,000",2.0 ,1.0 ,19.80 ,14,13,1K,南,木造
289,市川市真間,"58,000",2.0 ,1.0 ,19.80 ,17,7,1K,南,木造
290,市川市市川南,"65,000",2.0 ,1.0 ,26.40 ,11,13,1DK,南,軽量鉄骨
291,市川市菅野,"60,000",1.0 ,1.0 ,23.00 ,17,14,1DK,南,木造
292,市川市真間,"58,000",2.0 ,2.0 ,19.87 ,20,9,1K,南東,木造
293,市川市新田,"62,000",1.0 ,1.0 ,20.50 ,16,7,1K,南,木造
294,市川市新田,"52,000",1.0 ,0.0 ,18.02 ,25,13,1K,南東,軽量鉄骨
295,市川市新田,"57,000",1.0 ,1.0 ,21.70 ,20,10,1K,南,木造
296,市川市真間,"60,000",1.0 ,1.0 ,20.37 ,13,14,1K,西,鉄骨造
297,市川市新田,"72,000",2.0 ,1.0 ,20.70 ,0,2,1K,東,鉄骨造
